transaction_id,user_id,transaction_amount,transaction_type,timestamp,account_balance,device_type,location,merchant_category,ip_address_flag,previous_fraudulent_activity,daily_transaction_count,avg_transaction_amount_7d,failed_transaction_count_7d,card_type,card_age,transaction_distance,authentication_method,risk_score,is_weekend,fraud_label
TXN_34675,USER_3006,142.96,Bank Transfer,2023-11-23 10:55:00,33017.16,Mobile,Houston,Restaurants,0,0,2,212.19,3,Visa,120,309.45,Password,0.1719,1,0
TXN_27352,USER_8840,8.87,Bank Transfer,2023-12-21 13:55:00,76587.2,Mobile,London,Clothing,0,0,12,198.18,3,Discover,70,4084.07,Password,0.6429,1,0
TXN_29629,USER_4447,1.38,Bank Transfer,2023-07-31 19:16:00,55784.04,Laptop,Yokohama,Groceries,0,0,13,37.29,1,Amex,208,1997.55,OTP,0.3276,0,0
TXN_9115,USER_6036,78.14,ATM Withdrawal,2023-11-24 15:40:00,40352.28,Tablet,Mumbai,Groceries,0,0,7,127.28,2,Amex,207,4634.54,OTP,0.3082,0,0
TXN_42580,USER_2660,7.37,Online,2023-09-09 06:16:00,48818.79,Tablet,Chennai,Restaurants,0,0,1,399.1,4,Amex,33,862.01,PIN,0.3196,0,1
TXN_18982,USER_9878,14.12,Online,2023-11-20 20:14:00,55265.71,Mobile,London,Electronics,0,0,2,147.16,4,Discover,23,2336.63,OTP,0.1905,1,1
TXN_33331,USER_2096,16.58,POS,2023-02-28 09:22:00,21134.01,Laptop,Liverpool,Clothing,0,0,6,271.46,0,Mastercard,82,762.89,Password,0.6621,1,0
TXN_42426,USER_5805,156.88,ATM Withdrawal,2023-10-14 11:40:00,49122.24,Mobile,Houston,Clothing,0,0,9,107.08,1,Visa,57,1921.69,OTP,0.6695,0,0
TXN_20343,USER_2265,69.2,Bank Transfer,2023-06-05 19:42:00,82506.7,Tablet,Manchester,Clothing,0,0,4,116.74,0,Visa,128,3560.36,Password,0.1243,1,0
TXN_22859,USER_6191,48.21,ATM Withdrawal,2023-11-22 08:35:00,4373.71,Laptop,Tokyo,Clothing,0,0,4,371.51,0,Mastercard,155,4343.97,PIN,0.5305,1,0
TXN_42486,USER_1680,12.34,Online,2023-05-13 03:38:00,70578.94,Mobile,London,Travel,0,1,11,422.12,4,Discover,78,364.28,Password,0.0002,1,1
TXN_36352,USER_6542,198.3,POS,2023-07-13 19:24:00,2404.15,Mobile,Delhi,Groceries,0,0,1,259.71,4,Visa,210,4881.31,Password,0.3791,0,1
TXN_46453,USER_8095,377.37,Bank Transfer,2023-08-08 17:29:00,19399.16,Mobile,Delhi,Electronics,0,0,6,37.67,1,Mastercard,84,3635.0,Password,0.9923,0,1
TXN_9238,USER_8843,312.63,Online,2023-08-11 10:19:00,34884.88,Laptop,Sapporo,Travel,0,0,7,139.84,3,Visa,93,3925.12,OTP,0.2414,0,0
TXN_26547,USER_9732,272.26,Online,2023-12-04 19:32:00,74184.25,Mobile,London,Clothing,0,0,2,355.61,3,Discover,204,827.74,PIN,0.0815,1,0
TXN_46758,USER_1611,53.24,Bank Transfer,2023-07-19 10:16:00,29775.78,Laptop,Chennai,Electronics,0,0,13,318.91,2,Discover,4,1134.76,Password,0.6487,0,0
TXN_9739,USER_2137,11.93,POS,2023-10-12 07:16:00,88708.46,Tablet,Tokyo,Restaurants,0,0,4,346.36,4,Mastercard,137,832.17,PIN,0.8584,1,1
TXN_41385,USER_3751,34.43,Online,2023-05-29 01:15:00,14486.76,Laptop,Los Angeles,Clothing,0,0,6,490.34,2,Discover,64,1210.23,PIN,0.0141,0,0
TXN_6735,USER_2649,145.06,ATM Withdrawal,2023-12-09 18:06:00,31196.63,Mobile,Sydney,Electronics,0,0,1,491.86,2,Discover,142,3072.56,Password,0.6564,1,0
TXN_33571,USER_3023,112.52,Online,2023-10-08 14:05:00,94478.48,Laptop,Houston,Travel,0,0,14,249.43,1,Amex,136,4148.86,Password,0.8425,0,0
TXN_13567,USER_2359,18.99,Bank Transfer,2023-07-28 21:12:00,18536.48,Tablet,Perth,Groceries,0,0,6,328.94,0,Mastercard,85,1046.8,Password,0.5441,0,0
TXN_37072,USER_5547,8.99,Online,2023-07-12 07:28:00,39389.58,Laptop,Tokyo,Restaurants,0,0,9,434.06,4,Mastercard,156,3309.21,Biometric,0.1098,0,1
TXN_4540,USER_7010,44.05,ATM Withdrawal,2023-12-26 23:35:00,4934.22,Tablet,Mumbai,Electronics,0,0,8,411.59,1,Visa,91,1846.32,Biometric,0.5983,0,0
TXN_34644,USER_8061,26.11,POS,2023-02-07 02:33:00,71042.34,Mobile,Bangalore,Restaurants,0,0,1,337.77,1,Mastercard,148,2154.35,PIN,0.0218,0,0
TXN_18541,USER_5637,77.67,POS,2023-12-07 11:54:00,79185.77,Laptop,Birmingham,Electronics,0,0,7,180.76,3,Mastercard,73,1037.48,Password,0.1976,1,0
TXN_35902,USER_6435,445.22,POS,2023-04-18 07:38:00,12098.57,Laptop,Chicago,Travel,0,0,4,383.04,4,Amex,203,804.79,Biometric,0.2339,0,1
TXN_39740,USER_7428,145.83,Bank Transfer,2023-11-20 16:51:00,62592.2,Laptop,London,Clothing,0,0,12,286.94,4,Mastercard,163,701.3,Password,0.1394,0,1
TXN_2160,USER_3171,143.92,Online,2023-08-28 10:41:00,82127.97,Laptop,Sydney,Electronics,0,0,14,439.84,1,Discover,72,256.46,PIN,0.0686,1,0
TXN_12894,USER_6367,18.58,Bank Transfer,2023-04-12 21:20:00,18419.36,Mobile,Mumbai,Travel,0,0,12,229.95,3,Amex,86,881.39,PIN,0.3179,0,0
TXN_23214,USER_8828,61.65,POS,2023-05-14 07:17:00,43175.86,Tablet,Kyoto,Electronics,0,0,5,369.82,1,Mastercard,102,3046.72,PIN,0.4875,0,0
TXN_45289,USER_7720,106.35,Bank Transfer,2023-11-16 12:07:00,89565.93,Mobile,San Francisco,Travel,0,0,8,400.71,4,Discover,113,1165.76,OTP,0.9179,0,1
TXN_26719,USER_2677,144.15,POS,2023-05-07 01:28:00,63381.72,Tablet,Houston,Restaurants,0,0,12,403.13,4,Discover,219,2493.6,Password,0.5273,1,1
TXN_5675,USER_7380,97.48,POS,2023-06-16 19:47:00,36618.54,Tablet,Sydney,Restaurants,0,0,14,167.1,0,Visa,120,3636.82,PIN,0.387,1,0
TXN_7129,USER_3870,23.28,Bank Transfer,2023-11-15 07:20:00,56436.62,Tablet,New York,Restaurants,0,0,9,415.88,1,Mastercard,170,376.57,Password,0.1628,0,0
TXN_2412,USER_5596,159.45,POS,2023-11-08 03:46:00,69274.24,Tablet,Brisbane,Restaurants,0,0,14,424.52,3,Visa,62,3220.63,PIN,0.0295,0,0
TXN_17548,USER_9826,18.63,ATM Withdrawal,2023-02-01 20:14:00,9696.5,Laptop,Sydney,Travel,0,0,7,364.72,0,Mastercard,42,3821.89,Biometric,0.5952,0,0
TXN_33261,USER_5306,37.13,ATM Withdrawal,2023-09-01 19:55:00,15632.14,Tablet,Tokyo,Clothing,0,1,1,222.63,3,Visa,220,533.18,Password,0.9722,0,1
TXN_12352,USER_7926,181.69,Online,2023-11-16 00:35:00,81498.2,Laptop,San Francisco,Restaurants,0,0,2,403.81,3,Amex,170,1091.12,OTP,0.348,1,0
TXN_38101,USER_6986,6.57,ATM Withdrawal,2023-04-17 16:54:00,29650.07,Laptop,Melbourne,Travel,0,0,10,319.13,3,Visa,165,2606.65,PIN,0.9905,0,1
TXN_1439,USER_9920,29.26,ATM Withdrawal,2023-09-12 15:06:00,50873.93,Tablet,Mumbai,Electronics,0,0,3,140.43,4,Visa,70,1536.08,Biometric,0.6249,1,1
TXN_2095,USER_3979,4.83,Online,2023-02-27 16:25:00,5166.73,Tablet,Perth,Groceries,0,0,10,278.2,4,Visa,185,2460.89,Password,0.8331,0,1
TXN_46236,USER_8109,1.13,POS,2023-08-04 12:45:00,27381.17,Mobile,Brisbane,Groceries,0,0,13,243.52,1,Mastercard,1,4193.75,Biometric,0.3482,1,0
TXN_21546,USER_5864,208.89,Online,2023-06-23 02:37:00,47474.81,Tablet,Perth,Restaurants,0,0,5,475.6,2,Visa,143,1634.71,OTP,0.4521,0,0
TXN_4898,USER_6014,14.06,ATM Withdrawal,2023-06-20 02:51:00,38993.63,Laptop,Tokyo,Restaurants,1,0,3,395.74,2,Visa,182,1485.92,Biometric,0.3532,0,0
TXN_42651,USER_1970,12.87,Online,2023-08-05 04:14:00,51260.5,Tablet,New York,Clothing,0,0,1,230.41,2,Discover,235,1729.86,Password,0.4653,1,0
TXN_48280,USER_7049,130.56,Bank Transfer,2023-11-16 18:03:00,96647.06,Mobile,Tokyo,Travel,0,0,1,426.2,2,Amex,181,2890.09,Biometric,0.4293,1,0
TXN_37790,USER_4911,175.46,Online,2023-10-20 13:18:00,75427.81,Laptop,Perth,Groceries,0,0,3,274.34,2,Visa,131,1503.28,OTP,0.0398,1,0
TXN_5617,USER_9627,19.58,Bank Transfer,2023-07-06 13:29:00,80070.06,Laptop,Chennai,Restaurants,0,0,5,293.34,3,Visa,163,3901.51,Password,0.5643,0,0
TXN_19963,USER_4094,149.34,Online,2023-02-10 20:31:00,33430.64,Mobile,Chicago,Travel,0,0,9,17.99,3,Discover,48,1539.51,Password,0.4144,0,0
TXN_42031,USER_5632,27.2,Online,2023-08-20 11:54:00,69687.65,Laptop,Yokohama,Groceries,0,0,4,200.39,3,Mastercard,234,648.06,Biometric,0.7393,1,0
TXN_36721,USER_1441,174.88,ATM Withdrawal,2023-05-04 18:29:00,76562.02,Tablet,Sydney,Clothing,0,0,6,435.0,1,Visa,190,4052.05,OTP,0.6506,0,0
TXN_44889,USER_8215,188.97,POS,2023-05-23 03:17:00,69056.35,Mobile,Liverpool,Groceries,0,0,14,234.39,0,Discover,176,2701.43,OTP,0.8019,0,0
TXN_3675,USER_4278,228.63,ATM Withdrawal,2023-01-03 21:47:00,70250.07,Tablet,Houston,Restaurants,0,0,12,42.47,4,Amex,177,1805.5,PIN,0.3948,0,1
TXN_46234,USER_5446,86.34,ATM Withdrawal,2023-07-18 22:26:00,48213.91,Mobile,Adelaide,Travel,0,0,1,189.77,3,Amex,68,3474.9,OTP,0.0138,1,0
TXN_38108,USER_4986,568.65,ATM Withdrawal,2023-09-25 16:38:00,48888.52,Mobile,London,Travel,0,0,2,105.59,3,Amex,106,4759.07,PIN,0.0467,0,0
TXN_4342,USER_7785,125.92,Bank Transfer,2023-05-06 02:51:00,72707.33,Mobile,Mumbai,Travel,0,0,2,137.79,4,Discover,219,336.91,Password,0.2469,0,1
TXN_25575,USER_4998,24.4,Bank Transfer,2023-02-24 21:10:00,94863.27,Mobile,New York,Electronics,0,0,12,422.66,0,Discover,170,4779.85,Biometric,0.5832,0,0
TXN_44503,USER_3479,173.83,Bank Transfer,2023-12-18 06:45:00,8312.46,Mobile,New York,Travel,0,0,1,63.1,2,Amex,108,2588.45,OTP,0.6296,0,0
TXN_7134,USER_3374,119.44,ATM Withdrawal,2023-12-02 17:34:00,18698.54,Tablet,Chicago,Clothing,0,0,2,21.14,0,Discover,105,4487.33,OTP,0.6425,0,0
TXN_13091,USER_9291,27.38,Bank Transfer,2023-02-11 22:34:00,98568.16,Mobile,Liverpool,Restaurants,0,0,11,323.59,3,Discover,141,3984.09,OTP,0.3662,0,0
TXN_17889,USER_1744,118.13,POS,2023-08-16 22:46:00,86262.53,Mobile,Los Angeles,Electronics,0,0,7,166.97,3,Mastercard,234,1120.3,OTP,0.0548,0,0
TXN_16223,USER_9734,196.48,Online,2023-02-15 11:54:00,51896.46,Laptop,Kyoto,Clothing,0,0,10,23.5,1,Amex,26,1894.14,OTP,0.0972,1,0
TXN_44979,USER_6867,49.39,Online,2023-08-05 01:43:00,5207.73,Mobile,Yokohama,Restaurants,0,0,10,247.91,3,Mastercard,151,781.34,OTP,0.6646,1,0
TXN_13424,USER_3304,190.5,POS,2023-09-07 10:51:00,86262.27,Tablet,Chennai,Travel,0,0,6,168.5,4,Visa,13,2346.0,Biometric,0.8934,0,1
TXN_27256,USER_2620,93.25,POS,2023-06-17 11:10:00,25257.19,Tablet,New York,Restaurants,0,0,5,225.5,3,Mastercard,123,945.82,OTP,0.634,0,0
TXN_47685,USER_2979,25.27,Online,2023-11-19 08:26:00,12421.45,Mobile,Liverpool,Restaurants,0,0,4,320.47,1,Discover,113,3216.04,OTP,0.5631,0,0
TXN_15584,USER_2802,6.15,Online,2023-09-02 23:43:00,88035.69,Mobile,Mumbai,Restaurants,0,0,14,126.72,0,Amex,12,4996.7,Password,0.6764,1,0
TXN_11891,USER_9762,32.85,Online,2023-11-14 00:26:00,43026.04,Mobile,New York,Travel,0,0,4,55.39,2,Mastercard,53,1302.91,Password,0.2295,0,0
TXN_13738,USER_9752,124.47,Online,2023-11-25 18:39:00,76478.83,Mobile,Houston,Travel,0,0,4,305.07,2,Visa,5,2277.96,Password,0.243,0,0
TXN_24455,USER_1356,32.39,POS,2023-06-25 11:35:00,5476.62,Tablet,Delhi,Electronics,0,0,2,347.42,0,Discover,38,4253.26,PIN,0.5046,0,0
TXN_43455,USER_9888,71.07,Bank Transfer,2023-06-12 23:56:00,20485.43,Mobile,Manchester,Restaurants,0,0,9,494.91,2,Mastercard,217,4964.83,Password,0.8184,0,0
TXN_37678,USER_3061,42.3,Bank Transfer,2023-12-01 09:46:00,86555.07,Tablet,London,Clothing,0,0,14,349.18,0,Mastercard,96,2341.31,PIN,0.0462,1,0
TXN_39352,USER_8617,22.12,ATM Withdrawal,2023-10-25 14:23:00,48206.53,Laptop,Adelaide,Clothing,0,0,9,98.52,4,Mastercard,85,2585.27,Password,0.0593,0,1
TXN_48293,USER_8008,35.09,POS,2023-08-12 11:16:00,20654.37,Tablet,Chennai,Clothing,0,0,11,344.38,2,Mastercard,23,4008.72,Biometric,0.9756,0,1
TXN_19650,USER_9794,2.92,ATM Withdrawal,2023-01-18 00:45:00,39185.11,Tablet,Mumbai,Electronics,1,1,3,309.36,4,Mastercard,222,525.35,PIN,0.4397,1,1
TXN_15383,USER_5353,56.56,POS,2023-03-10 17:35:00,26839.37,Tablet,Mumbai,Restaurants,0,0,5,419.02,4,Visa,126,361.4,OTP,0.1341,1,1
TXN_3916,USER_4103,17.52,Bank Transfer,2023-12-20 14:29:00,43282.0,Laptop,Mumbai,Clothing,0,0,6,68.02,4,Mastercard,182,4369.33,Password,0.5202,1,1
TXN_21110,USER_6093,8.17,ATM Withdrawal,2023-01-12 04:42:00,99694.89,Mobile,Sydney,Groceries,0,0,9,112.5,3,Discover,2,4872.52,PIN,0.3446,0,0
TXN_3269,USER_9112,425.31,ATM Withdrawal,2023-07-26 21:38:00,90851.17,Laptop,Los Angeles,Electronics,1,0,8,233.67,4,Discover,178,3663.57,PIN,0.0491,0,1
TXN_4438,USER_9532,29.25,Bank Transfer,2023-03-11 16:40:00,49213.31,Laptop,Houston,Clothing,0,0,3,336.69,1,Mastercard,228,2800.09,OTP,0.1824,0,0
TXN_35063,USER_7947,149.17,Online,2023-05-27 13:23:00,46977.42,Laptop,Mumbai,Electronics,0,0,4,348.85,3,Mastercard,213,510.84,Password,0.5604,0,0
TXN_11236,USER_3094,48.74,Bank Transfer,2023-07-13 21:58:00,83806.17,Tablet,Sydney,Groceries,0,0,9,417.46,1,Mastercard,209,883.25,Password,0.331,1,0
TXN_26698,USER_6791,136.95,Bank Transfer,2023-10-11 11:38:00,96317.07,Laptop,New York,Travel,0,0,4,282.29,1,Mastercard,188,1323.29,PIN,0.1883,0,0
TXN_14751,USER_5829,111.67,POS,2023-09-03 16:55:00,59490.19,Mobile,Delhi,Restaurants,0,0,6,180.31,0,Amex,207,3800.62,PIN,0.8393,0,0
TXN_6408,USER_4906,22.47,Online,2023-10-28 00:48:00,24814.96,Laptop,Mumbai,Travel,0,0,11,468.54,3,Mastercard,78,3836.8,OTP,0.0258,0,0
TXN_37077,USER_5708,41.73,Online,2023-03-18 17:46:00,13900.33,Mobile,San Francisco,Travel,0,0,12,356.94,2,Discover,224,2753.94,Password,0.6583,1,0
TXN_4900,USER_5908,93.29,Bank Transfer,2023-01-12 00:22:00,9617.2,Laptop,Sydney,Travel,0,1,5,332.35,1,Discover,209,114.22,OTP,0.2973,0,0
TXN_5624,USER_5620,4.96,ATM Withdrawal,2023-02-07 06:55:00,7937.96,Laptop,Sapporo,Electronics,0,0,6,81.37,2,Discover,129,744.82,Biometric,0.995,0,1
TXN_42979,USER_3207,228.5,ATM Withdrawal,2023-11-01 20:27:00,1473.12,Tablet,Liverpool,Restaurants,0,0,13,389.9,3,Visa,163,2113.12,Biometric,0.3661,1,0
TXN_1605,USER_6342,10.19,Online,2023-09-30 02:40:00,84109.91,Mobile,Brisbane,Travel,0,0,9,425.11,1,Visa,87,4390.89,Biometric,0.1108,1,0
